customer_id,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12
1000125,9.0,28.0,4.0,2.0,25.0,27.0,33.0,31.0,-0.0,27.0,17.0,22.0
1000164,8.0,9.0,4.0,1.0,41.0,42.0,23.0,24.0,14.0,32.0,19.0,33.0
1000186,8.0,22.0,2.0,1.0,14.0,31.0,34.0,30.0,20.0,9.0,15.0,29.0
1000276,25.0,13.0,4.0,1.0,33.0,35.0,18.0,30.0,18.0,22.0,18.0,31.0
1000331,13.0,14.0,3.0,2.0,25.0,35.0,15.0,28.0,2.0,21.0,17.0,26.0
1000389,5.0,19.0,4.0,17.0,29.0,33.0,4.0,79.0,-0.0,33.0,30.0,29.0
1000414,6.0,8.0,2.0,1.0,22.0,21.0,18.0,19.0,0.0,15.0,10.0,16.0
1000417,6.0,2.0,-1.0,-0.0,21.0,26.0,3.0,37.0,79.0,22.0,14.0,17.0
1000535,11.0,18.0,2.0,2.0,24.0,29.0,15.0,29.0,8.0,17.0,17.0,22.0
1000639,31.0,10.0,3.0,34.0,26.0,37.0,22.0,21.0,0.0,23.0,32.0,35.0
1000761,6.0,4.0,1.0,1.0,12.0,19.0,6.0,7.0,-0.0,12.0,11.0,11.0
1000775,41.0,4.0,-0.0,2.0,28.0,34.0,30.0,22.0,23.0,19.0,41.0,31.0
1000835,15.0,7.0,1.0,3.0,44.0,45.0,15.0,36.0,-0.0,41.0,36.0,40.0
1001462,7.0,7.0,2.0,0.0,15.0,19.0,6.0,10.0,34.0,13.0,18.0,14.0
1001475,4.0,5.0,2.0,1.0,12.0,18.0,7.0,9.0,11.0,9.0,15.0,10.0
1001661,27.0,34.0,4.0,29.0,75.0,79.0,70.0,79.0,-0.0,53.0,66.0,73.0
1001849,7.0,20.0,5.0,0.0,21.0,40.0,55.0,19.0,16.0,23.0,10.0,50.0
1001908,10.0,32.0,8.0,4.0,17.0,29.0,23.0,21.0,2.0,31.0,27.0,30.0
1001938,20.0,25.0,1.0,0.0,27.0,73.0,34.0,83.0,0.0,66.0,28.0,46.0
1002111,13.0,13.0,10.0,7.0,11.0,-1.0,10.0,27.0,14.0,15.0,5.0,11.0
1002236,35.0,45.0,-0.0,0.0,53.0,42.0,30.0,47.0,97.0,35.0,50.0,39.0
1002260,14.0,13.0,2.0,1.0,23.0,25.0,13.0,26.0,0.0,24.0,14.0,25.0
1002574,2.0,3.0,1.0,1.0,10.0,12.0,3.0,4.0,0.0,5.0,8.0,6.0
1002589,4.0,3.0,1.0,1.0,11.0,17.0,6.0,6.0,1.0,8.0,13.0,10.0
1002750,3.0,3.0,1.0,1.0,6.0,10.0,3.0,4.0,-0.0,5.0,7.0,5.0
1002792,25.0,13.0,2.0,70.0,33.0,35.0,23.0,32.0,2.0,22.0,13.0,27.0
1002887,13.0,7.0,2.0,1.0,34.0,33.0,19.0,23.0,14.0,22.0,19.0,21.0
1002949,15.0,12.0,2.0,2.0,17.0,29.0,13.0,33.0,0.0,21.0,14.0,22.0
1003039,6.0,8.0,1.0,1.0,10.0,9.0,10.0,13.0,0.0,7.0,6.0,11.0
1003073,2.0,3.0,1.0,1.0,7.0,9.0,5.0,3.0,0.0,4.0,9.0,7.0
1003397,3.0,8.0,1.0,1.0,24.0,16.0,3.0,21.0,16.0,10.0,15.0,6.0
1003592,13.0,24.0,3.0,1.0,21.0,39.0,16.0,31.0,17.0,27.0,21.0,24.0
1003595,11.0,11.0,2.0,2.0,9.0,15.0,18.0,17.0,1.0,6.0,12.0,14.0
1003688,7.0,11.0,2.0,1.0,22.0,40.0,26.0,32.0,0.0,30.0,14.0,33.0
1003727,40.0,16.0,9.0,12.0,29.0,41.0,27.0,50.0,4.0,34.0,28.0,33.0
1003743,3.0,8.0,1.0,7.0,14.0,24.0,15.0,8.0,-0.0,12.0,17.0,35.0
1003792,14.0,16.0,3.0,3.0,23.0,33.0,18.0,31.0,0.0,14.0,18.0,26.0
1003861,7.0,27.0,1.0,2.0,64.0,52.0,34.0,31.0,10.0,41.0,32.0,59.0
1003940,25.0,19.0,8.0,3.0,65.0,58.0,46.0,69.0,0.0,50.0,29.0,60.0
1004084,7.0,21.0,2.0,2.0,49.0,42.0,34.0,52.0,10.0,36.0,21.0,31.0
1004166,13.0,25.0,3.0,2.0,38.0,40.0,29.0,38.0,2.0,30.0,15.0,41.0
1004287,11.0,14.0,29.0,4.0,30.0,40.0,41.0,27.0,1.0,33.0,17.0,35.0
1004319,5.0,6.0,2.0,1.0,10.0,6.0,5.0,10.0,4.0,12.0,6.0,8.0
1004411,7.0,17.0,2.0,1.0,14.0,21.0,9.0,15.0,-0.0,14.0,19.0,17.0
1004637,12.0,19.0,3.0,2.0,23.0,34.0,16.0,37.0,0.0,13.0,24.0,26.0
1004804,13.0,21.0,3.0,2.0,33.0,45.0,20.0,35.0,3.0,18.0,22.0,41.0
1004861,6.0,4.0,1.0,1.0,11.0,16.0,5.0,11.0,-0.0,10.0,12.0,12.0
1005028,7.0,9.0,0.0,1.0,15.0,20.0,8.0,18.0,0.0,14.0,22.0,16.0
1005135,26.0,40.0,2.0,1.0,30.0,44.0,45.0,45.0,-0.0,39.0,21.0,37.0
1005138,47.0,54.0,2.0,0.0,40.0,69.0,71.0,73.0,28.0,43.0,30.0,69.0
1005185,3.0,5.0,1.0,1.0,15.0,10.0,3.0,19.0,-0.0,10.0,7.0,5.0
1005214,4.0,4.0,1.0,1.0,11.0,15.0,4.0,6.0,-0.0,8.0,12.0,8.0
1005230,4.0,6.0,1.0,1.0,7.0,18.0,5.0,9.0,14.0,9.0,12.0,10.0
1005382,11.0,34.0,2.0,1.0,29.0,38.0,47.0,40.0,5.0,33.0,25.0,36.0
1005388,10.0,11.0,1.0,2.0,17.0,23.0,12.0,17.0,14.0,12.0,21.0,18.0
1005442,5.0,9.0,2.0,0.0,34.0,34.0,20.0,31.0,16.0,16.0,36.0,22.0
1005451,14.0,17.0,3.0,3.0,31.0,36.0,15.0,31.0,5.0,20.0,27.0,27.0
1005528,13.0,18.0,3.0,1.0,21.0,22.0,6.0,9.0,0.0,14.0,21.0,24.0
1005656,1.0,5.0,1.0,1.0,10.0,11.0,2.0,6.0,20.0,7.0,12.0,1.0
1005792,5.0,32.0,-0.0,1.0,34.0,24.0,9.0,36.0,55.0,18.0,19.0,18.0
1006105,3.0,42.0,1.0,1.0,10.0,35.0,28.0,48.0,280.0,33.0,7.0,21.0
1006144,2.0,3.0,1.0,1.0,7.0,12.0,3.0,4.0,0.0,6.0,10.0,7.0
1006192,1.0,3.0,1.0,1.0,7.0,6.0,3.0,4.0,0.0,5.0,9.0,7.0
1006286,24.0,25.0,2.0,2.0,25.0,36.0,22.0,41.0,4.0,28.0,27.0,32.0
1006395,10.0,9.0,1.0,3.0,34.0,30.0,30.0,36.0,-0.0,19.0,12.0,35.0
1006692,6.0,8.0,2.0,0.0,21.0,23.0,13.0,13.0,0.0,11.0,14.0,17.0
1006766,7.0,9.0,2.0,1.0,13.0,24.0,11.0,19.0,32.0,16.0,19.0,18.0
1006966,2.0,13.0,-1.0,0.0,55.0,31.0,5.0,8.0,8.0,25.0,40.0,29.0
1007120,34.0,14.0,25.0,2.0,36.0,39.0,31.0,37.0,3.0,28.0,25.0,30.0
1007122,13.0,36.0,4.0,4.0,31.0,53.0,46.0,34.0,-0.0,57.0,17.0,43.0
1007453,12.0,13.0,1.0,1.0,26.0,43.0,30.0,30.0,16.0,32.0,23.0,30.0
1007470,10.0,23.0,4.0,4.0,13.0,23.0,26.0,13.0,1.0,15.0,18.0,24.0
1007481,18.0,35.0,7.0,16.0,49.0,68.0,85.0,50.0,-0.0,44.0,35.0,45.0
1007642,4.0,5.0,2.0,1.0,47.0,39.0,25.0,77.0,-0.0,20.0,25.0,39.0
1007986,8.0,9.0,6.0,1.0,14.0,16.0,10.0,18.0,0.0,11.0,12.0,16.0
1008007,4.0,5.0,1.0,1.0,12.0,17.0,6.0,8.0,4.0,9.0,16.0,10.0
1008011,17.0,22.0,2.0,0.0,21.0,34.0,34.0,38.0,3.0,26.0,16.0,32.0
1008089,20.0,16.0,38.0,1.0,29.0,41.0,38.0,50.0,-0.0,18.0,13.0,43.0
1008121,7.0,49.0,3.0,2.0,18.0,31.0,13.0,45.0,17.0,25.0,37.0,16.0
1008125,7.0,3.0,0.0,0.0,15.0,25.0,6.0,24.0,8.0,16.0,23.0,20.0
1008756,11.0,12.0,2.0,2.0,32.0,35.0,30.0,26.0,20.0,23.0,28.0,28.0
1008858,13.0,74.0,3.0,3.0,35.0,37.0,28.0,45.0,17.0,19.0,16.0,30.0
1008999,13.0,25.0,26.0,30.0,37.0,40.0,32.0,42.0,25.0,29.0,26.0,38.0
1009002,9.0,23.0,15.0,1.0,17.0,37.0,14.0,41.0,1.0,28.0,12.0,17.0
1009005,81.0,39.0,5.0,1.0,69.0,51.0,49.0,86.0,21.0,53.0,36.0,42.0
1009013,10.0,13.0,1.0,2.0,42.0,44.0,31.0,48.0,1.0,36.0,44.0,47.0
1009095,6.0,53.0,19.0,1.0,65.0,47.0,48.0,30.0,0.0,33.0,26.0,46.0
1009106,7.0,52.0,1.0,1.0,69.0,51.0,26.0,47.0,12.0,45.0,14.0,42.0
1009206,5.0,23.0,42.0,1.0,36.0,27.0,6.0,37.0,0.0,15.0,35.0,24.0
1009226,5.0,0.0,0.0,-1.0,7.0,40.0,73.0,33.0,0.0,21.0,37.0,35.0
1009247,7.0,12.0,2.0,2.0,21.0,28.0,20.0,22.0,14.0,17.0,18.0,26.0
1009364,26.0,69.0,-0.0,1.0,39.0,41.0,39.0,37.0,-0.0,28.0,11.0,50.0
1009730,16.0,12.0,6.0,4.0,40.0,53.0,40.0,34.0,-0.0,46.0,28.0,36.0
1009750,44.0,37.0,4.0,1.0,25.0,80.0,40.0,97.0,6.0,30.0,40.0,90.0
